Trait,TraitValueSI,AmbientTemp,n (If count),Fit Function 
a,0.05,10.4,NA,Briere/NegQuad
a,0.03,10.7,NA,Briere/NegQuad
a,0.08,15,NA,Briere/NegQuad
a,0.18,15.6,NA,Briere/NegQuad
a,0.29,19.8,NA,Briere/NegQuad
a,0.4,20.1,NA,Briere/NegQuad
a,0.4,25.2,NA,Briere/NegQuad
a,0.28,25.3,NA,Briere/NegQuad
a,0.66,30,NA,Briere/NegQuad
a,0.66,30.8,NA,Briere/NegQuad
a,0.08,10.3,NA,Briere/NegQuad
a,0.08,10.7,NA,Briere/NegQuad
a,0.15,14.9,NA,Briere/NegQuad
a,0.19,16.3,NA,Briere/NegQuad
a,0.66,25.2,NA,Briere/NegQuad
b,0.08,15,25,Briere/NegQuad
b,0.28,20,25,Briere/NegQuad
b,0.88,25,25,Briere/NegQuad
b,0.96,30,25,Briere/NegQuad
pEA,0.23,20,NA,Briere/NegQuad
pEA,0.634,23,NA,Briere/NegQuad
pEA,0.588,27,NA,Briere/NegQuad
pEA,0.688,30,NA,Briere/NegQuad
pEA,0.177,35,NA,Briere/NegQuad
pEA,0.14,20,NA,Briere/NegQuad
pEA,0.176,23,NA,Briere/NegQuad
pEA,0.104,27,NA,Briere/NegQuad
pEA,0.16,30,NA,Briere/NegQuad
pEA,0.18,35,NA,Briere/NegQuad
pEA,0.8,20,NA,Briere/NegQuad
pEA,0.877,23,NA,Briere/NegQuad
pEA,0.943,27,NA,Briere/NegQuad
pEA,0.944,30,NA,Briere/NegQuad
pEA,0.889,35,NA,Briere/NegQuad
mu,0.037,10.4,NA,Quad
mu,0.057,10.7,NA,Quad
mu,0.072,15,NA,Quad
mu,0.057,15.5,NA,Quad
mu,0.121,19.9,NA,Quad
mu,0.058,20.1,NA,Quad
mu,0.078,25.1,NA,Quad
mu,0.084,25.3,NA,Quad
mu,0.067,30,NA,Quad
mu,0.073,30.9,NA,Quad
mu,0.045,10.3,NA,Quad
mu,0.056,10.6,NA,Quad
mu,0.077,15,NA,Quad
mu,0.068,16.1,NA,Quad
mu,0.079,19.8,NA,Quad
mu,0.114,20.2,NA,Quad
mu,0.138,25.2,NA,Quad
mu,0.073,25.2,NA,Quad
mu,0.078,29.9,NA,Quad
mu,0.113,30.3,NA,Quad
LDR,0.026,25,NA,Briere/NegQuad
LDR,0.023,20,NA,Briere/NegQuad
LDR,0.056,25,NA,Briere/NegQuad
LDR,0.075,28,NA,Briere/NegQuad
LDR,0.028,20,NA,Briere/NegQuad
LDR,0.056,25,NA,Briere/NegQuad
LDR,0.056,27,NA,Briere/NegQuad
LDR,0.056,30,NA,Briere/NegQuad
LDR,0.077,35,NA,Briere/NegQuad
LDR,0.029,20,NA,Briere/NegQuad
LDR,0.03,23,NA,Briere/NegQuad
LDR,0.038,27,NA,Briere/NegQuad
LDR,0.041,30,NA,Briere/NegQuad
LDR,0.06,35,NA,Briere/NegQuad
LDR,0.027,17,NA,Briere/NegQuad
LDR,0.05,20,NA,Briere/NegQuad
LDR,0.063,23,NA,Briere/NegQuad
LDR,0.072,27,NA,Briere/NegQuad
LDR,0.091,30,NA,Briere/NegQuad
EFD,5.528,15.5,NA,Briere/NegQuad
EFD,3.122,19.8,NA,Briere/NegQuad
EFD,13.11,20,NA,Briere/NegQuad
EFD,9.745,25.1,NA,Briere/NegQuad
EFD,6.206,25.3,NA,Briere/NegQuad
EFD,31.191,30,NA,Briere/NegQuad
EFD,19.034,30.9,NA,Briere/NegQuad
EFD,1.361,10.4,NA,Briere/NegQuad
EFD,1.242,10.7,NA,Briere/NegQuad
EFD,11.08,15,NA,Briere/NegQuad
EFD,13.961,16.1,NA,Briere/NegQuad
EFD,17.93,19.8,NA,Briere/NegQuad
EFD,41.531,20.1,NA,Briere/NegQuad
EFD,60.535,25.2,NA,Briere/NegQuad
EFD,39.856,25.2,NA,Briere/NegQuad
EFD,51.724,30,NA,Briere/NegQuad
EFD,69.951,30.4,NA,Briere/NegQuad
EFD,12.731,20,NA,Briere/NegQuad
EFD,1.154,25.2,NA,Briere/NegQuad
EFD,36.417,30,NA,Briere/NegQuad
EFD,0.465,10.4,NA,Briere/NegQuad
EFD,5.844,15,NA,Briere/NegQuad
EFD,7.048,16,NA,Briere/NegQuad
EFD,19.469,20.1,NA,Briere/NegQuad
EFD,31.938,25.1,NA,Briere/NegQuad
EFD,21.195,25.2,NA,Briere/NegQuad
EFD,12.255,30,NA,Briere/NegQuad
EFD,22.332,30.4,NA,Briere/NegQuad
EFD,0.365,20,NA,Briere/NegQuad
EFD,1.703,25,NA,Briere/NegQuad
EFD,1.536,28,NA,Briere/NegQuad
PDR,0.051,14.9,NA,Briere/NegQuad
PDR,0.04,14.9,NA,Briere/NegQuad
PDR,0.021,15,NA,Briere/NegQuad
PDR,0.052,19.9,NA,Briere/NegQuad
PDR,0.08,19.9,NA,Briere/NegQuad
PDR,0.073,20.9,NA,Briere/NegQuad
PDR,0.073,23,NA,Briere/NegQuad
PDR,0.073,23,NA,Briere/NegQuad
PDR,0.073,24,NA,Briere/NegQuad
PDR,0.069,24.9,NA,Briere/NegQuad
PDR,0.101,24,NA,Briere/NegQuad
PDR,0.101,26.9,NA,Briere/NegQuad
PDR,0.14,24.9,NA,Briere/NegQuad
PDR,0.143,26.9,NA,Briere/NegQuad
PDR,0.144,29.9,NA,Briere/NegQuad
PDR,0.208,29.9,NA,Briere/NegQuad
PDR,0.2,31.9,NA,Briere/NegQuad
PDR,0.248,31.9,NA,Briere/NegQuad
pEA,0.03,20,NA,Briere/NegQuad
pEA,0.11,20,NA,Briere/NegQuad
pEA,0.41,25,NA,Briere/NegQuad
pEA,0.22,25,NA,Briere/NegQuad
pEA,0.28,30,NA,Briere/NegQuad
pEA,0.17,30,NA,Briere/NegQuad
pEA,0.38,30,NA,Briere/NegQuad
pEA,0.29,35,NA,Briere/NegQuad
pEA,0.4,35,NA,Briere/NegQuad
EDR,0.016,20,NA,Briere/NegQuad
EDR,0.015,23,NA,Briere/NegQuad
EDR,0.016,27,NA,Briere/NegQuad
EDR,0.02,30,NA,Briere/NegQuad
EDR,0.018,35,NA,Briere/NegQuad
LDR,0.029,20,NA,Briere/NegQuad
LDR,0.03,23,NA,Briere/NegQuad
LDR,0.038,27,NA,Briere/NegQuad
LDR,0.041,30,NA,Briere/NegQuad
LDR,0.06,35,NA,Briere/NegQuad
PuDR,0.011,20,NA,Briere/NegQuad
PuDR,0.015,23,NA,Briere/NegQuad
PuDR,0.02,27,NA,Briere/NegQuad
PuDR,0.026,30,NA,Briere/NegQuad
PuDR,0.026,35,NA,Briere/NegQuad
pE,0.23,20,4057,Briere/NegQuad
pE,0.634,23,4057,Briere/NegQuad
pE,0.538,27,4057,Briere/NegQuad
pE,0.68,30,4057,Briere/NegQuad
pE,0.177,35,4057,Briere/NegQuad
pL,0.14,20,2000,Briere/NegQuad
pL,0.176,23,2000,Briere/NegQuad
pL,0.104,27,2000,Briere/NegQuad
pL,0.16,30,2000,Briere/NegQuad
pL,0.18,35,2000,Briere/NegQuad
pP,0.8,20,597,Briere/NegQuad
pP,0.877,23,597,Briere/NegQuad
pP,0.943,27,597,Briere/NegQuad
pP,0.944,30,597,Briere/NegQuad
pP,0.889,35,597,Briere/NegQuad
EDT,63.6,20,4057,Quad
EDT,64.7,23,4057,Quad
EDT,61.4,27,4057,Quad
EDT,50.9,30,4057,Quad
EDT,57.1,35,4057,Quad
LDT,34.5,20,2500,Quad
LDT,33.6,23,2500,Quad
LDT,26.5,27,2500,Quad
LDT,24.4,30,2500,Quad
LDT,16.7,35,2500,Quad
PuDT,89.7,20,597,Quad
PuDT,65.5,23,597,Quad
PuDT,50.6,27,597,Quad
PuDT,39.1,30,597,Quad
PuDT,38.8,35,597,Quad