Date,L,P
26/08/2017,20,0
27/08/2017,20,0
28/08/2017,20,0
29/08/2017,20,0
30/08/2017,20,0
31/08/2017,20,0
01/09/2017,20,0
02/09/2017,20,0
03/09/2017,20,0
04/09/2017,20,0
05/09/2017,20,0
06/09/2017,20,0
07/09/2017,20,0
08/09/2017,20,0
09/09/2017,20,0
10/09/2017,20,0
11/09/2017,20,0
12/09/2017,20,0
13/09/2017,17,0
14/09/2017,16,0
15/09/2017,15,0
16/09/2017,15,0
17/09/2017,15,0
18/09/2017,15,0
19/09/2017,15,0
20/09/2017,15,0
21/09/2017,15,0
22/09/2017,15,0
23/09/2017,15,0
24/09/2017,15,0
25/09/2017,15,0
26/09/2017,15,0
27/09/2017,13,2
28/09/2017,13,2
29/09/2017,10,4
30/09/2017,4,10
01/10/2017,3,11
02/10/2017,2,12
03/10/2017,1,12